Date,Open,High,Low,Close,Volume,Adj Close
2014-01-15,14.00,14.10,13.50,13.61,30600,13.61
2014-01-14,13.62,14.05,13.25,13.71,48600,13.71
2014-01-13,14.50,14.70,13.20,13.46,76200,13.46
2014-01-10,15.15,15.16,14.06,14.21,88100,14.21
2014-01-09,15.99,16.20,14.75,15.27,139300,15.27
2014-01-08,15.40,16.48,15.26,15.97,342800,15.97
2014-01-07,14.35,15.13,13.70,15.11,389400,15.11
2014-01-06,13.20,13.76,13.20,13.76,103300,13.76
2014-01-03,13.40,13.50,12.95,13.11,104800,13.11
2014-01-02,14.20,14.33,13.41,13.55,311000,13.55
2014-01-01,13.25,13.66,13.00,13.65,93800,13.65
2013-12-31,12.90,13.15,12.80,13.01,48100,13.01
2013-12-30,12.88,13.15,12.55,12.75,37200,12.75
2013-12-27,13.90,14.00,12.80,12.88,107400,12.88
2013-12-26,13.40,13.47,12.95,13.47,203200,13.47
2013-12-25,12.83,12.83,12.83,12.83,000,12.83
2013-12-24,12.25,12.85,12.21,12.83,56200,12.83
2013-12-23,12.45,12.78,12.16,12.24,44900,12.24
2013-12-20,12.15,12.40,11.90,12.22,34300,12.22
2013-12-19,12.22,12.22,12.00,12.12,25100,12.12
2013-12-18,12.00,12.30,12.00,12.17,33300,12.17
2013-12-17,12.66,12.99,12.10,12.25,84000,12.25
2013-12-16,12.90,12.90,12.70,12.71,32600,12.71
2013-12-13,12.82,13.05,12.64,12.77,36300,12.77
2013-12-12,13.05,13.28,12.80,13.03,52500,13.03
2013-12-11,13.25,13.50,12.95,13.20,34000,13.20
2013-12-10,13.75,13.85,13.21,13.31,33600,13.31
2013-12-09,14.90,14.90,13.70,13.85,45700,13.85
2013-12-06,13.60,14.21,13.36,14.21,76000,14.21
2013-12-05,13.76,13.85,13.41,13.54,39100,13.54
2013-12-04,13.75,14.24,13.61,13.74,41800,13.74
2013-12-03,15.15,15.15,13.80,13.81,112500,13.81
2013-12-02,14.52,14.52,13.80,14.52,256800,14.52
2013-11-29,13.30,13.83,13.30,13.83,38700,13.83
2013-11-28,13.25,13.45,13.12,13.18,30400,13.18
2013-11-27,13.25,13.35,12.90,13.01,54800,13.01
2013-11-26,13.75,13.80,13.31,13.44,33500,13.44
2013-11-25,14.25,14.30,13.71,13.79,69500,13.79
2013-11-22,14.50,14.65,13.95,14.06,66400,14.06
2013-11-21,14.80,15.05,14.30,14.39,61300,14.39
2013-11-20,14.80,15.40,14.30,14.97,94400,14.97
2013-11-19,14.23,15.71,14.23,14.91,652800,14.91
2013-11-18,14.97,14.97,14.97,14.97,45600,14.97
2013-11-15,15.75,15.75,15.75,15.75,000,15.75
2013-11-14,15.93,16.14,15.75,15.75,70600,15.75
2013-11-13,17.85,18.10,16.57,16.57,86700,16.57
2013-11-12,17.00,17.90,16.45,17.44,403000,17.44
2013-11-11,15.30,16.28,15.00,16.28,587100,16.28
2013-11-08,13.40,14.80,13.05,14.80,471800,14.80
2013-11-07,14.58,15.05,13.25,13.46,245500,13.46
2013-11-06,13.06,13.91,13.04,13.90,143300,13.90
